tags,name,score,trend_3m,trend_12m,whats_happening,why_it_matters,key_insight,funding
الذكاء الاصطناعي في الرعاية الصحية,اكتشاف الأدوية بالذكاء الاصطناعي,88,48.3,240.1,خوارزميات تولّد جزيئات دوائية جديدة.,تقلّص زمن البحث والتطوير من 10 سنوات إلى أقل من 5.,أكثر من 20 دواءً مُكتشفاً بالذكاء الاصطناعي دخل التجارب في 2024.,$1500M
الذكاء الاصطناعي المالي,الذكاء الاصطناعي في إدارة الثروات,72,20.5,118.9,مستشارون آليون يقدّمون استراتيجيات استثمار شخصية.,يُ democratizes الوصول لإدارة الثروات.,من المتوقع أن تُدير الاستشارات المعتمدة على الذكاء الاصطناعي 3 تريليونات دولار بحلول 2030.,$350M
الذكاء الاصطناعي للمناخ,تحسين التقاط الكربون بالذكاء الاصطناعي,68,18.7,99.5,نماذج تحسّن كفاءة محطات التقاط الكربون.,تدعم الأهداف المناخية وتقلل الانبعاثات الصناعية.,جمعت مشاريع التقاط الكربون بالذكاء الاصطناعي 1.2 مليار دولار في 2024.,$1200M
الذكاء الاصطناعي في التعليم,تعلّم اللغات بالذكاء الاصطناعي,75,39.8,160.6,مُدرّسون آليون يقدّمون تغذية راجعة فورية للمتعلمين.,يسرّع اعتماد التعليم متعدّد اللغات.,تقارير تُظهر تحسّن النتائج التعليمية بنحو 40% مع الذكاء الاصطناعي.,$380M
الذكاء الاصطناعي في السيارات,تحسين حركة المرور بالذكاء الاصطناعي,71,26.4,135.0,اعتماد المدن أنظمة ذكاء اصطناعي لتقليل الازدحام.,يقلّص أوقات التنقّل ويخفض الانبعاثات.,أنظمة المرور الذكية قد تُخفّض التأخير بنحو 25%.,$500M
الذكاء الاصطناعي في التجزئة,تحسين سلاسل الإمداد بالذكاء الاصطناعي,79,34.7,176.2,تنبؤ الطلب وإدارة اللوجستيات بواسطة الذكاء الاصطناعي.,يقلّل النقص ويرفع سرعة التوصيل.,توفّر المتاجر ذات سلاسل إمداد مدعومة بالذكاء الاصطناعي نحو 15% سنوياً.,$650M
الأمن السيبراني بالذكاء الاصطناعي,حماية الهوية بالذكاء الاصطناعي,76,31.5,149.3,مراقبة سرقة الهوية ومحاولات الاحتيال رقمياً.,تحمي الهوية في عالم شديد الاتصال.,حجم سوق حماية الهوية بالذكاء الاصطناعي قد يبلغ 25 مليار دولار بحلول 2028.,$420M
الذكاء الاصطناعي في التصنيع,التصميم التوليدي بالذكاء الاصطناعي,83,36.9,202.1,توليد تصاميم منتجات مثلى آلياً.,يسرّع دورات البحث والتطوير ويقلّل الهدر.,من المتوقع تضاعف تبنّي التصميم التوليدي بحلول 2026.,$550M
الذكاء الاصطناعي في الزراعة,مراقبة الثروة الحيوانية بالذكاء الاصطناعي,69,21.8,122.7,أنظمة تتابع صحة الحيوان وتغذيته.,تقلّل مخاطر الأمراض وترفع الكفاءة.,ينمو هذا السوق بمعدل 18% سنوياً.,$200M
الذكاء الاصطناعي في الطاقة,تنبؤ الطاقة المتجددة بالذكاء الاصطناعي,81,40.2,188.7,تنبؤ مخرجات الرياح والشمس والمياه.,يحسّن دمجها في الشبكات الكهربائية.,التنبؤ يقلّل هدر الطاقة المتجددة بنحو 30%.,$600M
الذكاء الاصطناعي في الرعاية الصحية,التصوير الطبي بالذكاء الاصطناعي,84,30.9,170.4,قراءة الأشعة السينية والرنين والطبقي المحوري آلياً.,يسرّع التشخيص ويحسن الدقة.,وافقت الجهات التنظيمية على 300+ أداة تصوير بالذكاء الاصطناعي منذ 2022.,$1100M
الذكاء الاصطناعي المالي,التقييم الائتماني بالذكاء الاصطناعي,67,19.4,97.2,تقييم الجدارة الائتمانية بما يتجاوز المقاييس التقليدية.,يوسّع الشمول المالي للفئات غير المخدومة.,تحسّن التنبؤ بسداد القروض بنسبة 20% باستخدام الذكاء الاصطناعي.,$250M
الذكاء الاصطناعي للمناخ,الذكاء الاصطناعي للاستجابة للكوارث,79,42.5,185.6,تنبؤ أسرع بالفيضانات والحرائق والزلازل.,يحسن الاستعداد والاستجابة للطوارئ.,تجارب أظهرت خفض أزمنة التعافي بنسبة 30%.,$550M
الذكاء الاصطناعي في التعليم,المراقبة الامتحانية بالذكاء الاصطناعي,65,15.3,90.7,مراقبة الاختبارات عبر الإنترنت للحفاظ على النزاهة.,تضمن العدالة في التعليم عن بُعد.,تضاعف الاعتماد على المراقبة الآلية 3 مرات منذ 2020.,$150M
الذكاء الاصطناعي في السيارات,إدارة الأساطيل بالذكاء الاصطناعي,73,28.2,145.9,تتبّع المسارات والصيانة والوقود آلياً.,يخفض تكاليف اللوجستيات والانبعاثات.,من المتوقع أن تدير حلول الذكاء الاصطناعي 80% من أساطيل اللوجستيات بحلول 2030.,$450M
الذكاء الاصطناعي في التجزئة,أنظمة الخروج الذكي المدعومة بالذكاء الاصطناعي,77,33.6,170.8,تجارب تسوق بلا أمين صندوق باستخدام رؤية حاسوبية.,تسرّع التسوق وتقلّل تكاليف العمالة.,قد يصل اعتماد الدفع الذكي إلى سوق بقيمة 45 مليار دولار بحلول 2030.,$700M
الأمن السيبراني بالذكاء الاصطناعي,أمن السحابة بالذكاء الاصطناعي,86,37.8,215.3,منع اختراقات السحابة وتسريبات البيانات آلياً.,يدعم الانتقال الآمن إلى السحابة.,90% من المؤسسات تخطط لاستخدام أمن سحابي مدفوع بالذكاء الاصطناعي بحلول 2027.,$980M
الذكاء الاصطناعي في التصنيع,الصيانة التنبؤية بالذكاء الاصطناعي,88,43.1,220.0,التنبؤ بأعطال الآلات قبل حدوثها.,يقلّل التوقف وتكاليف الصيانة.,توفر الصيانة التنبؤية للمصنّعين نحو 100 مليار دولار سنوياً.,$1200M
الذكاء الاصطناعي في الزراعة,تقليل هدر الغذاء بالذكاء الاصطناعي,66,17.9,88.2,التنبؤ بفساد الغذاء وتحسين التوزيع.,يقلّل الهدر عالمياً ويحسّن سلاسل الإمداد.,قد يساعد الذكاء الاصطناعي في خفض هدر الغذاء 25% بحلول 2030.,$300M
